,Date,Open,High,Low,Close
613,2021-10-14,0.9298,0.9298,0.85,0.85
612,2021-10-13,0.8001,0.8101,0.8001,0.8101
611,2021-10-12,0.8,0.86,0.8,0.8018
610,2021-10-11,0.8,0.8,0.8,0.8
609,2021-10-08,0.83,0.83,0.83,0.83
608,2021-10-07,0.83,0.86,0.83,0.83
607,2021-10-06,0.8801,0.8801,0.85,0.865
606,2021-10-05,0.8685,0.89,0.8685,0.8798
605,2021-10-04,0.93,0.93,0.84,0.84
604,2021-10-01,0.88,0.9227,0.8502,0.9227
603,2021-09-30,0.945,0.945,0.8817,0.9099
602,2021-09-29,0.8501,0.8999,0.8501,0.8999
601,2021-09-28,1.09,1.15,0.91,0.9205
600,2021-09-27,1.03,1.04,1.03,1.04
599,2021-09-24,1.0,1.095,0.98,0.99
598,2021-09-23,0.9202,1.025,0.9202,1.0001
597,2021-09-22,0.85,0.85,0.85,0.85
596,2021-09-21,0.85,0.85,0.85,0.85
595,2021-09-20,0.85,0.85,0.85,0.85
594,2021-09-17,0.89,0.95,0.83,0.85
593,2021-09-16,0.785,0.785,0.785,0.785
592,2021-09-15,0.9099,0.9099,0.785,0.785
591,2021-09-14,0.86,0.86,0.83,0.8399
590,2021-09-13,0.8505,0.9497,0.85,0.9
589,2021-09-10,0.95,0.95,0.85,0.85
588,2021-09-09,0.9751,0.9751,0.9751,0.9751
587,2021-09-08,0.9751,0.9751,0.9751,0.9751
586,2021-09-07,1.0,1.0,0.9751,0.9751
585,2021-09-03,0.94,0.99,0.9,0.9
584,2021-09-02,0.8277,0.95,0.8277,0.95
583,2021-09-01,0.901,0.9499,0.901,0.9478
582,2021-08-31,0.8002,0.8002,0.8002,0.8002
581,2021-08-30,0.9001,0.9001,0.8002,0.8002
580,2021-08-27,0.871,1.0,0.83,0.88
579,2021-08-26,0.8,0.826,0.7998,0.7998
578,2021-08-25,0.8355,0.8355,0.8355,0.8355
577,2021-08-24,0.8463,0.8699,0.8463,0.8699
576,2021-08-23,0.78,0.8599,0.78,0.8599
575,2021-08-20,0.7018,0.8298,0.7018,0.7899
574,2021-08-19,0.7801,0.7801,0.7801,0.7801
573,2021-08-18,0.7945,0.8075,0.7901,0.7901
572,2021-08-17,0.9079,0.9079,0.8391,0.89
571,2021-08-16,0.9099,0.9301,0.9088,0.9088
570,2021-08-13,0.9001,0.9001,0.9001,0.9001
